Model,Embedding Dim,Hidden Dim,Num Layers,Dropout,LR,Batch Size,Best Val Loss,Best Val Accuracy,Best Perplexity
LSTM_emb128_hid512_layers2_drop0.3_lr0.01_batch64,128,512,2,0.3,0.01,64,0.09628691663965583,0.971665,1.1010749353979048
LSTM_emb128_hid512_layers2_drop0.3_lr0.01_batch128,128,512,2,0.3,0.01,128,0.09164785360917449,0.973,1.0959788091362148
LSTM_emb128_hid512_layers2_drop0.3_lr0.001_batch64,128,512,2,0.3,0.001,64,0.08477448183111846,0.973535,1.088471568902234
LSTM_emb128_hid512_layers2_drop0.3_lr0.001_batch128,128,512,2,0.3,0.001,128,0.0862418720498681,0.973275,1.0900699538762584
LSTM_emb256_hid256_layers2_drop0.0_lr0.01_batch64,256,256,2,0.0,0.01,64,0.09745542076416314,0.972315,1.1023622979990828
LSTM_emb256_hid256_layers2_drop0.0_lr0.01_batch128,256,256,2,0.0,0.01,128,0.09530269727110863,0.97246,1.0999917692442556
LSTM_emb256_hid256_layers2_drop0.0_lr0.001_batch64,256,256,2,0.0,0.001,64,0.08999870507977903,0.97277,1.0941728668377224
LSTM_emb256_hid256_layers2_drop0.0_lr0.001_batch128,256,256,2,0.0,0.001,128,0.09628519415855408,0.97201,1.1010730388187704
LSTM_emb256_hid256_layers2_drop0.3_lr0.01_batch64,256,256,2,0.3,0.01,64,0.09794157976284623,0.97138,1.1028983516431574
LSTM_emb256_hid256_layers2_drop0.3_lr0.01_batch128,256,256,2,0.3,0.01,128,0.0916088898666203,0.972955,1.0959361065319828
LSTM_emb256_hid256_layers2_drop0.3_lr0.001_batch64,256,256,2,0.3,0.001,64,0.08706588041968644,0.973325,1.0909685508167952
LSTM_emb256_hid256_layers2_drop0.3_lr0.001_batch128,256,256,2,0.3,0.001,128,0.09325148304924369,0.97196,1.0977377629983884
LSTM_emb256_hid512_layers2_drop0.0_lr0.01_batch64,256,512,2,0.0,0.01,64,0.09680338832549751,0.97221,1.1016437563033297
LSTM_emb256_hid512_layers2_drop0.0_lr0.01_batch128,256,512,2,0.0,0.01,128,0.09219452133402228,0.973065,1.0965781091723554
LSTM_emb256_hid512_layers2_drop0.0_lr0.001_batch64,256,512,2,0.0,0.001,64,0.08566470188088715,0.97369,1.0894409795468492
LSTM_emb256_hid512_layers2_drop0.0_lr0.001_batch128,256,512,2,0.0,0.001,128,0.08588476851582527,0.973555,1.089680755539562
LSTM_emb256_hid512_layers2_drop0.3_lr0.01_batch64,256,512,2,0.3,0.01,64,0.09335760050453246,0.972295,1.0978542583173563
LSTM_emb256_hid512_layers2_drop0.3_lr0.01_batch128,256,512,2,0.3,0.01,128,0.08981262380257249,0.97353,1.0939692806955488
LSTM_emb256_hid512_layers2_drop0.3_lr0.001_batch64,256,512,2,0.3,0.001,64,0.0844869997818023,0.973825,1.0881586978395454
LSTM_emb256_hid512_layers2_drop0.3_lr0.001_batch128,256,512,2,0.3,0.001,128,0.0826402697712183,0.97389,1.0861510169088653
